topicId,words..
1,american meeting united dr students college university group association york
2,mrs evening dinner morning mr afternoon miss clock president house
3,world day park hyde year country hope people today part
4,mr york good time play made copyright united feature syndicate
5,washington time yesterday book interesting things work find read day
6,men war women work service home great army red copyright
7,morning home park mrs back hyde husband family mother yesterday
8,government labor people public conditions make point question situation part
9,people country world american citizens states south democracy freedom nation
10,children care program health year hospital public work money medical
11,land told small country good part area farm food visited
12,people life man things human years read thing feel live
13,people time york city find long good kind christmas make
14,house beautiful room looked drove morning car drive back lovely
15,president state party democratic senator congress political york bill vote
16,school children young work education city community boys schools training
17,people country business great living pay money make things time
18,world soviet nations united union countries war government communist peace
19,great husband years story syndicate called interesting life lived feature
20,united nations world prohibited rights states part reproduction general human
