topicId,words..
1,people things great time feel man make life find thing
2,mr city interesting made american great told syndicate gave mrs
3,committee part labor united prohibited general organization state government public
4,children people school education city program work country money community
5,morning mrs afternoon back time yesterday night miss washington lunch
6,world people country war countries peace part nations great nation
7,government president people party democratic state situation made communist newyork
8,women work men young home war service boys day time
9,house told good beautiful place small land water summer looked
10,newyork young year day good hope book called read copyright
