docId,filename,top topics, and contribution to doc ...
32,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000029.txt,10,0.318,3,0.297,9,0.108,7,0.067,4,0.051,1,0.051
33,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000030.txt,10,0.266,9,0.239,4,0.120,8,0.098,6,0.098,3,0.071
34,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000031.txt,6,0.191,10,0.133,5,0.133,9,0.127,7,0.116,4,0.098,2,0.098,1,0.069
35,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000032.txt,2,0.266,10,0.203,6,0.135,7,0.083,1,0.083,8,0.073,4,0.063
36,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000033.txt,10,0.472,4,0.150,8,0.114,6,0.093
37,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000034.txt,4,0.215,3,0.186,10,0.157,9,0.122,8,0.099,7,0.076
38,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000035.txt,3,0.361,6,0.189,8,0.107,9,0.101,10,0.077,7,0.059,1,0.053
39,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000036.txt,1,0.287,7,0.273,9,0.140,2,0.077,10,0.063,6,0.056,3,0.056
40,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000037.txt,6,0.385,7,0.160,1,0.144,9,0.118,3,0.070
41,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000038.txt,3,0.306,8,0.206,9,0.172,6,0.122,5,0.061,4,0.056
42,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000039.txt,3,0.457,9,0.171,6,0.141,8,0.075
43,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000040.txt,7,0.293,5,0.207,6,0.128,1,0.128
44,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000041.txt,10,0.423,9,0.179,3,0.102,7,0.092,2,0.082
45,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000042.txt,6,0.469,1,0.107,3,0.102,7,0.085,2,0.073
46,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000043.txt,1,0.358,7,0.151,9,0.128,10,0.123,6,0.078,3,0.061
47,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000044.txt,10,0.328,9,0.144,4,0.106,6,0.094,2,0.083,8,0.078,7,0.050,3,0.050,1,0.050
48,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000045.txt,3,0.449,6,0.162,9,0.146,8,0.054
49,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000046.txt,3,0.511,9,0.237,4,0.065,8,0.059,6,0.054
50,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000047.txt,3,0.356,8,0.186,9,0.107,6,0.096,10,0.090,4,0.085
51,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000048.txt,7,0.329,5,0.205,6,0.161,1,0.075,4,0.056,2,0.056
52,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000049.txt,6,0.271,7,0.229,9,0.127,4,0.127,8,0.072,2,0.066
53,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000050.txt,3,0.298,10,0.176,6,0.160,2,0.133,8,0.106,9,0.059
